accommodation_name,accommodation_address,accommodation_rating,City
Timboon House,"320 Old Geelong Rd, Camperdown VIC 3260, Australia",4.7,CAMPERDOWN
Camperdown Accommodation: Edwardia short-stay,"194a Manifold St, Camperdown VIC 3260, Australia",4.7,CAMPERDOWN
Dalvue Motel,"Princes Hwy & McKinnon Street, Terang VIC 3264, Australia",4.6,CAMPERDOWN
Cobden Roadhouse Motel,"1236 Camperdown-Cobden Rd, Cobden VIC 3266, Australia",4.6,CAMPERDOWN
Thompsons Hotel,"36 Curdie St, Cobden VIC 3266, Australia",3.9,CAMPERDOWN
Heytesbury House,"33 Parrott St, Cobden VIC 3266, Australia",4.7,CAMPERDOWN
Cobden Crest Cottages,"300 Cobden-Port Campbell Rd, Cobden VIC 3266, Australia",4.8,CAMPERDOWN
Mt Noorat Hotel,"2 Terang-Mortlake Rd, Noorat VIC 3265, Australia",4.2,CAMPERDOWN
Birches on Bourkes,"18 Bourkes Road, Terang VIC 3264, Australia",4.8,CAMPERDOWN
Commercial Hotel,"73 High St, Terang VIC 3264, Australia",4.5,CAMPERDOWN
Grand Central Accommodation B&B Cobden,"30 Victoria St, Cobden VIC 3266, Australia",4.6,CAMPERDOWN
Bell Motel,"2 Patterson St, Preston VIC 3072, Australia",4.1,PRESTON
Mantra Bell City Preston,"215 Bell St, Preston VIC 3072, Australia",3.6,PRESTON
St Georges Motor Inn,"334 St Georges Rd, Thornbury VIC 3071, Australia",4.0,PRESTON
Quest Preston,"520 High St, Preston VIC 3072, Australia",0.0,PRESTON
Katie's Antique House,"54 Oxford Dr, Thomastown VIC 3074, Australia",1.0,PRESTON
Parkside Inn Motel & Conference Centre,"1045 Plenty Rd, Bundoora VIC 3083, Australia",3.2,PRESTON
Brunswick Tower Hotel,"188 Moreland Rd, Brunswick VIC 3056, Australia",3.6,PRESTON
The Nunnery Accommodation,"116 Nicholson St, Fitzroy VIC 3065, Australia",4.1,PRESTON
Jasper Hotel,"489 Elizabeth St, Melbourne VIC 3000, Australia",4.1,PRESTON
Melrose Apartments,"171 Melrose St, North Melbourne VIC 3051, Australia",4.4,PRESTON
Meadow Inn Hotel-Motel,"1435 Sydney Rd, Fawkner VIC 3061, Australia",3.6,PRESTON
Summerhill Hotel,"840 Plenty Rd, Reservoir VIC 3073, Australia",3.9,PRESTON
The Best Western Plus Travel Inn Hotel,"225 Drummond St, Carlton VIC 3053, Australia",4.1,PRESTON
Coburg Motor Inn,"726 Sydney Rd, Coburg North VIC 3058, Australia",2.6,PRESTON
Artel Apartments Hotel Brunswick,"756 Sydney Rd, Brunswick VIC 3056, Australia",4.4,PRESTON
Quest Ivanhoe,"72/84 Upper Heidelberg Rd, Ivanhoe VIC 3079, Australia",4.1,PRESTON
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",3.9,PRESTON
Excelsior Hotel,"82 Mahoneys Rd, Thomastown VIC 3074, Australia",3.9,PRESTON
Parc,"1091 Plenty Rd, Bundoora VIC 3083, Australia",4.4,PRESTON
Best Western Mahoneys Motor Inn,"47A Mahoneys Rd, Reservoir VIC 3073, Australia",3.7,PRESTON
Bairnsdale Main Motel,"544 Main St, Bairnsdale VIC 3875, Australia",4.3,BAIRNSDALE
