,Council,City
789,ColacOtwayS,Cressy
790,CorangamiteS,Cressy
791,GoldenPlainsS,Cressy
792,BallaratC,Creswick
793,HepburnS,Creswick
794,HepburnS,CreswickNorth
795,MorningtonPeninsulaS,CribPoint
796,BaysideC,Cromer
797,WellingtonS,Crookayan
798,WellingtonS,CrookedRiver
799,PyreneesS,CrossRoads
800,MoyneS,Crossley
801,BawBawS,Crossover
802,AraratRC,Crowlands
803,NorthernGrampiansS,Crowlands
804,PyreneesS,Crowlands
805,SouthernGrampiansS,CroxtonEast
806,MaroondahC,Croydon
807,MaroondahC,CroydonHills
808,MaroondahC,CroydonNorth
809,MaroondahC,CroydonSouth
810,HindmarshS,Crymelon
811,YarriambiackS,Crymelon
812,MoyneS,Cudgee
813,TowongS,Cudgewa
814,BulokeS,Culgoa
815,SouthernGrampiansS,Culla
816,GannawarraS,Cullen
817,MilduraRC,Cullulleraine
818,ColacOtwayS,Cundare
819,ColacOtwayS,CundareNorth
820,CorangamiteS,CundareNorth
821,CorangamiteS,CurdieVale
822,MoyneS,CurdieVale
823,CorangamiteS,CurdiesRiver
824,GreaterGeelongC,Curlewis
825,BulokeS,Curyo
826,HorshamRC,DadswellsBridge
827,NthnGrampiansS,DadswellsBridge
828,CentralGoldfieldsS,DaisyHill
829,MooraboolS,DalesCreek
830,HumeC,Dallas
831,CardiniaS,Dalmore
832,GannawarraS,DaltonsBridge
833,NorthernGrampiansS,Dalyenong
834,BassCoastS,Dalyston
835,GreaterDandenongC,Dandenong
836,GrDandenongC,DandenongNorth
837,GrDandenongC,DandenongSouth
838,AlpineS,Dandongadale
839,AlpineS,Dargo
840,WellingtonS,Dargo
841,NorthernGrampiansS,Darkbonee
842,MooraboolS,Darley
843,LatrobeC,Darlimurla
844,SouthGippslandS,Darlimurla
845,CorangamiteS,Darlington
846,MoyneS,Darlington
847,BawBawS,Darnum
848,MacedonRangesS,DarraweitGuim
849,WellingtonS,Darriman
850,GlenelgS,Dartmoor
851,EastGippslandS,Dartmouth
852,TowongS,Dartmouth
853,WellingtonS,Dawson
854,HepburnS,Daylesford
855,HepburnS,Dean
856,SurfCoastS,DeansMarsh
857,EastGippslandS,DeddickValley
858,AlpineS,Dederang
859,NorthernGrampiansS,DeepLead
860,BrimbankC,DeerPark
861,BallaratC,Delacombe
862,BrimbankC,Delahey
863,MansfieldS,Delatite
864,BawBawS,Delburn
865,LatrobeC,Delburn
866,SouthGippslandS,Delburn
867,EastGippslandS,DelegateRiverEast
