,Title,City
398,"Waterloo, Fryerstown",Fryers Creek 
399,"Victorian, Gisborne",Aitken St 
400,"Parkers United, Gordon",Gordons 
401,"Royal George, Kyneton",Piper St 
402,"Victoria, Red Hill",Blackwood Red Hill 
403,"Rising Sun, Port Fairy",Port Fairy 
404,"Union, St Andrews",Queenstown 
405,"Sailors Falls, Sailors Falls",Sailors Falls 
406,"Carpenters, Seymour South",South Seymour 
407,"Campbells, Smeaton Deep Creek",Smeaton 
408,"Victoria, Snake Valley",Snake Valley Ovens Diggings 
409,"Royal, Snake Valley",Snake Valley 
410,"Botanical, St Arnaud",St Arnaud 
411,"Royal, St Arnaud",corner Napier & Walker Sts 
412,"Willoughbys, St Arnaud",Melb-Inglewood Rd 
413,"Lake, Stawell West",Seaby St 
414,"Railway Station, Woodvale",Sydney Flat 
415,"Commercial, Talbot",Talbot 
416,"Railway, Talbot",Talbot 
417,"Town Hall, Talbot",Talbot 
418,"Bull & Mouth, Talbot",Talbot 
419,"North British, Talbot",Talbot 
420,"Union, Talbot",Talbot 
421,"Linlithgow, Warrenheip",Warrenheip 
422,"OMealleys, Warrnambool",Warrnambool 
423,"Railway, Warrnambool",Warrnambool 
424,"Bryen Boiroimre, Warrnambool",Raglan Parade East 
425,"Armstrongs, Werribee",Werribee 
426,"Crown, Wy Yung",Wy Yung
427,"Wy Yung, Wy Yung",Wy Yung
428,"Batchs Factory, Ballarat",Armstrong St 
429,"Hutchinsons, Ballarat",Armstrong St 
430,"Gilberts Motors, Ballarat",Armstrong St 
431,"Irwins Shop, Ballarat",Armstrong St 
432,"Munros Sports Depot, Ballarat",Armstrong St 
433,"Phoenix Foundry, Ballarat",Armstrong St 
434,"Royal Navy, Ballarat",Armstrong St 
435,"Craigs Store, Ballarat",Armstrong St 
436,"Wood Yard, Ballarat",Armstrong St 
437,"Johns Social Rooms, Ballarat",Armstrong St 
438,"Frenchmans, Ballarat",Armstrong St 
439,"Edinburgh Castle, Ballarat",Armstrong St 
440,"Mudies Shop, Ballarat",Armstrong St 
441,"Andrews Coffee Palace, Ballarat",Armstrong St 
442,"Albion Imperial, Ballarat",Armstrong St 
443,"Mathers Tailor, Ballarat",Armstrong St 
444,"Andrews Coffee Palace, Ballarat",Armstrong St 
445,"Ludbrooks, Ballarat",Armstrong St 
446,"Ritchies Store, Ballarat",Armstrong St 
447,"Corby Store, Ballarat",Armstrong St 
448,"Empire, Ballarat",Armstrong St 
449,"Retallacks Buildings, Ballarat",Bridge St 
450,"Moorsheads, Ballarat",Bridge St 
451,"Berlyns Fish Shop, Ballarat",Bridge St 
452,"Moorhouses, Ballarat",Bridge St 
453,"Barnetts Butcher, Ballarat",Bridge St 
454,"Spargos, Ballarat",Bridge St 
455,"Miners Arms, Ballarat",Bridge St 
456,"Kings Chemists Shop, Ballarat",Bridge St 
457,"E S A Bank, Ballarat",Bridge St 
458,"Haymes Shop, Ballarat",Bridge St 
459,"Bridge, Ballarat",Bridge St 
460,"Williams, Ballarat",Bridge St 
461,"Bird, Ballarat",Bridge St 
462,"Liverpool, Ballarat",Bridge St 
463,"Faulls, Ballarat",Bridge St 
464,"Criterion, Ballarat",Bridge St 
465,"Russells, Ballarat",Bridge St 
466,"Beehive, Ballarat",Bridge St 
467,"Gin Palace, Ballarat",Bridge St 
468,"Darks Shop, Ballarat",Bridge St 
469,"Gowers Shop, Ballarat",Bridge St 
470,"Banking Coy, Ballarat",Bridge St 
471,"Georges Garage, Ballarat",Creswick Rd 
472,"Wallace Butter Offices, Ballarat",Creswick Rd 
473,"Grand Junction Mine, Ballarat",Creswick Rd 
474,"Rose Hill, Ballarat",Creswick Rd 
475,"Warrens, Ballarat",Dana St 
476,"Prince of Wales, Ballarat",Eyre St 
477,"Monaghans, Ballarat",Doveton St 
478,"Phoenix, Ballarat",Doveton St 
479,"Youngs, Ballarat",Doveton St 
480,"Golf House, Ballarat",Doveton St 
481,"Criterion, Ballarat",Doveton St 
482,"Cons Market Saleyards, Ballarat",Doveton St 
483,"Royal Standard, Ballarat",Doveton St 
484,"Farmers Arms, Ballarat",Doveton St 
485,"Edwards Grocery, Ballarat",Doveton St 
486,"Sheet Masons Arms, Ballarat",Doveton St 
487,"Golf Links, Ballarat",Doveton St 
488,"Suburban Hermitage, Ballarat",Doveton St 
489,"Dawes Boot Shop, Ballarat",Drummond St 
490,"Golden Fleece, Ballarat",Drummond St 
491,"Trades Union, Ballarat",Drummond St 
492,"Commercial, Ballarat",Drummond St 
493,"United States, Ballarat",Grant St 
494,"Killaloo, Ballarat",Grant St 
495,"Limerick & Killaloo, Ballarat",Grant St 
496,"Beachams, Ballarat",Grant St 
497,"Exhibition Mart Bldgs, Ballarat",Main Rd 
498,"Crown, Ballarat",Main Rd 
499,"Ramages Boot Shop, Ballarat",Main Rd 
500,"McKellars, Ballarat",Main Rd 
501,"Limerick & Clare Castle, Ballarat",Main Rd 
502,"White Horse, Ballarat",Ballarat 
503,"Eagle Casino, Ballarat",Main Rd 
504,"Monte Casino, Ballarat",Main Rd 
505,"Charlie Napier, Ballarat",Main Rd 
506,"Meeks, Ballarat",Main Rd 
507,"Temperance, Ballarat",Main Rd 
508,"Eglinton Castle Inn, Ballarat",Main Rd 
509,"Gin Palace, Ballarat",Main Rd 
510,"Gilberts Store, Ballarat",Main Rd 
511,"Walkers Barber, Ballarat",Main Rd 
512,"Robinsons 2nd Hd Shop, Ballarat",Main Rd 
513,"Pioneer, Ballarat",Main Rd 
514,"London Tavern, Ballarat",Main Rd 
515,"Belgium Café, Ballarat",Main Rd 
516,"Commonwealth, Ballarat",Main Rd 
517,"Sam Wah, Ballarat",Main Rd 
518,"Roff (Tailor), Ballarat",Main Rd 
519,"Crown, Ballarat",Main Rd 
520,"Yarrowee, Ballarat",Main Rd 
521,"Sulieman Palace Mine, Ballarat",Main Rd 
522,"Scandinavian, Ballarat",Main Rd 
523,"Shamrock, Ballarat",Main Rd 
524,"Court House, Ballarat",Main Rd 
525,"Council Chambers, Ballarat",Main Rd 
526,"City of Hamburg, Ballarat",Main Rd 
527,"Ball Court, Ballarat",Main Rd 
528,"Gem, Ballarat",Main Rd 
529,"Hermits Cave, Ballarat",Main Rd 
530,"Court House, Ballarat",Barkly St 
531,"Chinese Camp, Ballarat",Barkly St 
532,"Barley Sheaf, Ballarat",Barkly St 
533,"Tram Terminus, Ballarat",Barkly St 
534,"Half Moon, Ballarat",Durham St 
535,"Seven Stars, Ballarat",Durham St 
536,"Hola, Ballarat",Lal Lal St 
537,"Wrights Store, Ballarat",Lal Lal St 
538,"Hit or Miss, Ballarat",corner Eureka St & Specimen Hill 
539,"Brian Boru, Ballarat",corner Eureka St & Specimen Hill 
540,"Brewery Tap, Ballarat",corner Eureka St & Specimen Hill 
541,"London, Ballarat",corner King & Eureka Sts 
542,"Shannon View, Ballarat",corner Eureka St & Specimen Hill 
543,"Imperial, Ballarat",corner Eureka St & Specimen Hill 
544,"Falcon Inn, Ballarat",Humffray St 
545,"7th Day Church, Ballarat",Humffray St 
546,"ANA Rooms, Ballarat",Humffray St 
547,"Coates, Ballarat",Humffray St 
548,"Rose of Denmark, Ballarat",Humffray St 
549,"Champions Garden, Ballarat",Humffray St 
550,"Springdallah, Ballarat",Humffray St 
551,"Try Again, Ballarat",Humffray St 
552,"Lusitana, Ballarat",Humffray St 
553,"Russell Square, Ballarat",Ballarat 
554,"Club, Ballarat",Lydiard St 
555,"Bensons Royal, Ballarat",Lydiard St 
556,"Deans Store, Ballarat",Lydiard St 
557,"Royal George, Ballarat",Lydiard St 
558,"City, Ballarat",Lydiard St 
559,"Court House, Ballarat",Lydiard St 
560,"Brewery Yard, Ballarat",Lyons St 
561,"Elephant & Castle, Ballarat",Lydiard St 
562,"Chidlows, Ballarat",Lydiard St 
563,"Craigs Royal, Ballarat",Lydiard St 
564,"Dents, Ballarat",Lydiard St 
565,"Trots, Ballarat",Lydiard St 
566,"Railway, Ballarat",Lydiard St 
567,"Palace, Ballarat",Lydiard St 
568,"Trustees Company, Ballarat",Lydiard St 
569,"Royal Exchange, Ballarat",Mair St 
570,"Locomotive Inn, Ballarat",Mair St 
571,"Panthers Store, Ballarat",Mair St 
572,"Beaufort House, Ballarat",Mair St 
573,"Princess Royal, Ballarat",Mair St 
574,"Kent, Ballarat",Mair St 
575,"City Oval, Ballarat",Mair St 
576,"Glen, Ballarat",Melbourne Rd 
577,"Gem, Ballarat",Peel St 
578,"Retreat, Ballarat",Peel St 
579,"Black Hill ProgressHall, Ballarat",Peel St 
580,"Military Arms, Ballarat",Peel St 
581,"Dunmow Flitch, Ballarat",Plank Rd 
582,"Australian, Ballarat",Plank Rd 
583,"Sir Garnet Wolseley, Ballarat",Plank Rd 
584,"Revival, Ballarat",Plank Rd 
585,"Corn Exchange, Ballarat",Plank Rd 
586,"Sinclairs Hill, Ballarat",Plank Rd 
587,"Carriers Arms, Ballarat",Skipton St 
588,"Prince Charlie, Ballarat",Skipton St 
589,"Band of Hope Mine, Ballarat",Skipton St 
590,"Whites Florist, Ballarat",Sturt St 
591,"Lesters, Ballarat",Sturt St 
592,"Thompsons, Ballarat",Sturt St 
593,"Judds, Ballarat",Sturt St 
594,"Central, Ballarat",Sturt St 
595,"Temple Pomona Café, Ballarat",Sturt St 
