,Title,City
596,"Daveys Furrier Shop, Ballarat",Sturt St 
597,"Delveens, Ballarat",Sturt St 
598,"Ellis Motor Garage, Ballarat",Sturt St 
599,"Coomora, Ballarat",Sturt St 
600,"Red House Bakery, Ballarat",Sturt St 
601,"Yorkshire Arms, Ballarat",Sturt St 
602,"State Elec Comm of Vic, Ballarat",Sturt St 
603,"Lesters, Ballarat",Sturt St 
604,"Camerons Family & Commercial, Ballarat",Sturt St 
605,"Friends, Ballarat",Sturt St 
606,"Hunts, Ballarat",Sturt St 
607,"Fussells, Ballarat",Sturt St 
608,"Ferns, Ballarat",Sturt St 
609,"Phillips, Ballarat",Sturt St 
610,"Carlyons, Ballarat",Sturt St 
611,"Corner, Ballarat",Sturt St 
612,"Ewins, Ballarat",Sturt St 
613,"Patersons Drapery Store, Ballarat",Sturt St 
614,"Owens Sports Depot, Ballarat",Sturt St 
615,"Halleys, Ballarat",Sturt St 
616,"Jacks, Ballarat",Sturt St 
617,"Brophys, Ballarat",Sturt St 
618,"Newtons, Ballarat",Sturt St 
619,"Taylors, Ballarat",Sturt St 
620,"Sturt, Ballarat",Sturt St 
621,"Golden City, Ballarat",Sturt St 
622,"Fire Brigade, Ballarat",Sturt St 
623,"City Brigade, Ballarat",Sturt St 
624,"Brays Groc, Ballarat",Sturt St 
625,"Windemere, Ballarat",Sturt St 
626,"Sussex, Ballarat",Sturt St 
627,"Morgan Lees, Ballarat",Sturt St 
628,"Olive Branch, Ballarat",Sturt St 
629,"Royal Standard, Ballarat",Sturt St 
630,"Carbine, Ballarat",Sturt St 
631,"Halls Btmkr, Ballarat",Sturt St 
632,"Nicholsons Wd Yd, Ballarat",Sturt St 
633,"Arrah-No-Pogue, Ballarat",Sturt St 
634,"St Patricks College, Ballarat",Sturt St 
635,"Inkerman & Durham, Ballarat",Sturt St 
636,"National, Ballarat",Sturt St 
637,"Steeles, Ballarat",Sturt St 
638,"McKenzie Grocer, Ballarat",Sturt St 
639,"Backs, Ballarat",Sturt St 
640,"Park, Ballarat",Sturt St 
641,"Duke of Wellington, Ballarat",Sturt St 
642,"Malakoff, Ballarat",Sturt St 
643,"Nugget, Ballarat",Sebastopol St 
644,"Caranvon, Ballarat",Urquhart St 
645,"Cambrian, Ballarat",Urquhart St 
646,"Black Bull, Ballarat",Urquhart St 
647,"Reform Club, Ballarat",Urquhart St 
648,"Earl of Zetland, Ballarat",Victoria St 
649,"Golden Fleece, Ballarat",Victoria St 
650,"Havilah, Ballarat",Victoria St 
651,"Erin Go Bragh, Ballarat",Victoria St 
652,"Dunstans Grocers, Ballarat",Victoria St 
653,"Hand of Friendship, Ballarat",Victoria St 
654,"Leicester Arms, Ballarat",Victoria St 
655,"Mark Rosenthal Pawn Shop, Ballarat",Victoria St 
656,"Klines Bakery, Ballarat",Victoria St 
657,"Major, Ballarat",Victoria St 
658,"Victoria United, Ballarat",Victoria St 
659,"St Johns Presbyterian Church, Ballarat",Victoria St 
660,"Meaghers, Ballarat",Victoria St 
661,"Orphanage, Ballarat",Victoria St 
662,"Melbourne, Ballarat",Victoria St 
663,"White Hart, Ballarat",Victoria St 
664,"Sieferths, Ballarat",Seymour St 
665,"Blucher, Ballarat",Seymour St 
666,"Tontine, Ballarat",York St 
667,"Windsor, Ballarat",York St 
668,"Winsor Arms, Ballarat",York St 
669,"Red Hill, Ballarat",York St 
670,"Northern Junction, Ballarat",Burnbank Rd 
671,"Parkers, Ballarat",Burnbank Rd 
672,"Monastery, Ballarat",Burnbank Rd 
673,"Elephant, Ballarat",Burnbank Rd 
674,"White Flag, Ballarat",Black Hill 
675,"Lord Clyde, Ballarat",Black Hill 
676,"Limerick Castle, Ballarat",Darling St 
677,"Coach & Horses, Ballarat",Raglan St 
678,"Haigs, Ballarat",Raglan St 
679,"Elephant & Castle, Ballarat",Adair St 
680,"Alfred, Alfredton",Ballarat Alfredton 
681,"Market, Alfredton",Ballarat Alfredton 
682,"Park, Alfredton",Ballarat Alfredton 
683,"Donegal Arms, Ballarat",Ripon St 
684,"Hamburger, Ballarat",Neil St 
685,"Club House, Ballarat",Neil St 
686,"Halls Boot Shop, Ballarat",Neil St 
687,"Lake View, Ballarat",Wendouree Parade 
688,"Friend, Ballarat",Wendouree Parade 
689,"Rifle Ranges, Ballarat",corner Latrobe & Ascot Sts 
690,"Marretts, Ballarat",Latrobe St 
691,"Monmouth & Clan Morgan, Cabbage Tree Hill",Ballarat Cabbage Tree Hill 
692,"Royal Highlander, Ballarat",Ballarat 
693,"Ballarat Hunt Club, Ballarat",Ballarat 
694,"New Cemetery, Ballarat",Ballarat 
695,"Airds, Sebastopol",Ballarat Sebastopol 
696,"Britannia, Sebastopol",Ballarat Sebastopol 
697,"Bartons, Sebastopol",Ballarat Sebastopol 
698,"Chibnalls, Sebastopol",Ballarat Sebastopol 
699,"Crickerters Arms, Sebastopol",Ballarat Sebastopol 
700,"Criterion, Sebastopol",Ballarat Sebastopol 
701,"Guiding Star Mine, Sebastopol",Ballarat Sebastopol 
702,"Criterion, Sebastopol",Ballarat Sebastopol 
703,"Dudley Castle, Sebastopol",Ballarat Sebastopol 
704,"Dudley & Clare Castle, Sebastopol",Ballarat Sebastopol 
705,"Ebbles, Sebastopol",Ballarat Sebastopol 
706,"Elephant & Castle, Sebastopol",Ballarat Sebastopol 
707,"Empire, Sebastopol",Ballarat Sebastopol 
708,"Gagans, Sebastopol",Ballarat Sebastopol 
709,"Great Britain, Sebastopol",Ballarat Sebastopol 
710,"Half-way House, Sebastopol",Ballarat Sebastopol 
711,"Hanrahans, Sebastopol",Ballarat Sebastopol 
712,"Hibernian, Sebastopol",Ballarat Sebastopol 
713,"Iona, Sebastopol",Ballarat Sebastopol 
714,"John OGrouts, Sebastopol",Ballarat Sebastopol 
715,"Junction, Sebastopol",Ballarat Sebastopol 
716,"Kemps, Sebastopol",Ballarat Sebastopol 
717,"Keys, Sebastopol",Ballarat Sebastopol 
718,"Kilkenny, Sebastopol",Ballarat Sebastopol 
719,"Magpie, Sebastopol",Ballarat Sebastopol 
720,"Marshals, Sebastopol",Ballarat Sebastopol 
721,"Mounts Bay, Sebastopol",Ballarat Sebastopol 
722,"Prince Alfred, Sebastopol",Ballarat Sebastopol 
723,"Prince of Wales, Sebastopol",Ballarat Sebastopol 
724,"Redan, Sebastopol",Ballarat Sebastopol 
725,"Retreat, Sebastopol",Ballarat Sebastopol 
726,"Robert Burns, Sebastopol",Ballarat Sebastopol 
727,"Royal George, Sebastopol",Ballarat Sebastopol 
728,"Sheehans, Sebastopol",Ballarat Sebastopol 
729,"Star & Garter, Sebastopol",Ballarat Sebastopol 
730,"St Georges, Sebastopol",Ballarat Sebastopol 
731,"Taras Hall, Sebastopol",Ballarat Sebastopol 
732,"Travellers Rest, Sebastopol",Ballarat Sebastopol 
733,"Winters, Sebastopol",Ballarat Sebastopol 
734,"Cricket Ground Club, Ballarat",Havelock St 
735,"Pavilion, Ballarat",Havelock St 
736,"American, Ballarat",Chisholm St 
737,"Enterprise, Ballarat",Chisholm St 
738,"Duke of Edinburgh, Ballarat",Grenville St 
739,"Cardiff, Ballarat",Grenville St 
740,"Prince of Wales, Ballarat",Grenville St 
741,"Adelphi, Ballarat",corner Sturt & Dawson Sts 
742,"Albion, Ballarat",Creswick St 
743,"Albion, Ballarat",Sturt St 
744,"Albion Imperial, Ballarat",Armstrong St 
745,"Alfred, Ballarat",Sturt St 
746,"Auld Reekie, Little Bendigo",Ballarat Little Bendigo 
747,"Belfast, Ballarat",corner Howitt & Forest Sts 
748,"Nags Head, Ballarat",corner Howitt & Forest Sts 
749,"Belle Vue, Ballarat",corner Sturt & Windemere Sts 
750,"Bricklayers Arms, Ballarat",corner Victoria & Stawell Sts 
751,"Burra Burra, Ballarat",South Rd 
752,"Canarvon, Ballarat",corner Urquhart & Dawson St 
753,"Carbine, Ballarat",corner Sturt & Windemere Sts 
754,"Cattle Yards Inn, Alfredton",Ballarat Alfredton 
755,"Cattle Market Inn, Alfredton",Ballarat Alfredton 
756,"Cornubian, Ballarat",Creswick Rd 
757,"Cemetery, Ballarat",Creswick Rd 
758,"Eastern Railway, Ballarat",Humffray St 
759,"Eastern Station, Ballarat",Humffray St 
760,"Grapes, Ballarat",corner Grant & Humffray Sts 
761,"North Grant, Ballarat",corner Bridge & Peel Sts 
762,"Old Kayser, Ballarat",Main Rd 
763,"Ancient Briton, Ballarat",Main Rd 
764,"Alexandra, Ballarat",Sturt St 
765,"Australia Felix, Ballarat",Eureka St 
766,"Argyle, Ballarat",Doveton St 
767,"Australian Arms, Ballarat",Sturt St 
768,"Brewery, Ballarat",Drummond St 
769,"Bridge, Ballarat",Bridge St 
770,"British North American, Ballarat",Durham St 
771,"British Queen, Ballarat",Bridge St 
772,"Brown Hill, Ballarat",Humffray St 
773,"Bucks Head, Ballarat",Bridge St 
774,"Bull & Mouth, Ballarat",Doveton St 
775,"Bunch of Grapes, Ballarat",Pleasant St 
776,"Caledonian, Ballarat",Urquhart St 
777,"Camerons Post Office Hill, Ballarat",Magpie St 
778,"Carlyons, Ballarat",Sturt St 
779,"City Brigade, Ballarat",Sturt St 
780,"City of York, Ballarat",Ligar St 
781,"Club, Ballarat",Lydiard St 
782,"Commonwealth, Ballarat",Main Rd 
783,"Corner, Ballarat",Sturt St 
784,"Cosmopolitan, Ballarat",Lydiard St 
785,"Craigs Royal, Ballarat",Lydiard St 
786,"Crown, Ballarat",Main Rd 
787,"Devon & Cornwall, Ballarat",Sturt St 
788,"Earl of Zetland, Ballarat",Bridge St 
789,"Exchange, Ballarat",Bridge St 
790,"Federal, Ballarat",Lydiard St 
791,"Gem, Ballarat",Armstrong St 
792,"George, Ballarat",Lydiard St 
793,"Globe, Ballarat",Lydiard St 
794,"Globe, Ballarat",Skipton St 
795,"Golden City, Ballarat",Sturt St 
796,"Grand, Ballarat",Lydiard St 
797,"Grand Stand, Ballarat",Adair St 
798,"Half-way House, Ballarat",Skipton St 
799,"Havilah, Ballarat",Victoria St 
800,"Horse Bazaar, Ballarat",Armstrong St 
801,"Imperial, Ballarat",Humffray St 
802,"Lade of the Lake, Ballarat",Armstrong St 
803,"Lake View, Ballarat",Wendouree Pde 
804,"Lesters, Ballarat",Sturt St 
805,"Limerick & Clare Castle, Ballarat",Grant St 
806,"Macks, Ballarat",Victoria St 
807,"Mallow, Ballarat",Skipton St 
808,"Military Arms, Ballarat",Peel St 
809,"Miners Support, Ballarat",Skipton St 
810,"Munster Arms, Ballarat",Victoria St 
811,"New Eglinton, Ballarat",Main Rd 
812,"North Star, Ballarat",Lydiard St 
813,"Palace, Ballarat",Lydiard St 
814,"Park, Ballarat",Sturt St 
815,"Phoenix, Ballarat",Doveton St 
816,"Plough & Harrow, Ballarat",Mair St 
817,"Princess Royal, Ballarat",MacArthur St 
818,"Provincial, Ballarat",Lydiard St 
819,"Queens Head, Ballarat",Humffray St 
820,"Railway, Ballarat",Lydiard St 
821,"Robin Hood, Ballarat",Peel St 
822,"Royal Don, Ballarat",Mair St 
823,"Royal Exchange, Ballarat",Mair St 
824,"Royal Oak, Ballarat",Peel St 
825,"Royal Standard, Ballarat",Main Rd 
826,"Seven Stars, Ballarat",Humffray St 
827,"Sir Wm Don, Ballarat",Dana St 
828,"Southern Cross, Ballarat",Sturt St 
829,"Sovereign, Ballarat",Lydiard St 
830,"Surrey, Ballarat",Mair St 
831,"Tam OShanter, Ballarat",Creswick Rd 
832,"Victoria, Ballarat",Urquhart St 
833,"Warrior, Ballarat",Pleasant St 
834,"Washington, Ballarat",Skipton St 
835,"Western Ocean, Ballarat",Skipton St 
836,"Wheatsheaf, Ballarat",Wendouree Pde 
837,"Cricketers Arms, Bendigo",Mundy St 
838,"Three Tvns, Bendigo",corner Grattan & Arnold 
839,"Kennington, Bendigo",Sternberg St 
840,"Violet Street, Bendigo",corner Violet & Barnard Sts 
841,"Queen St, Bendigo",corner Queen & Arthur Sts 
842,"Suburban, Bendigo",corner White Hills Rd & McRae St 
843,"Noahs Ark, Bendigo",Bendigo 
844,"Niagara, Bendigo",Bendigo 
845,"Lyceum, Bendigo",Bendigo 
846,"Kensington, Bendigo",Bendigo 
847,"New Chum, Bendigo",Lily St 
848,"Shenandoah & Shamrock, Bendigo",High St 
849,"Rosalind Park, Bendigo",Bendigo 
850,"New Market, Bendigo",Charleston Rd 
851,"Show Grouinds, Bendigo",Bridge St 
852,"Windermere, Bendigo",Bendigo 
853,"Newport, Bendigo",Bendigo 
854,"South Atlas, Bendigo",Bendigo 
855,"Niagara, Bendigo",corner Mundy & McCrae Sts 
856,"Southern Cross, Bendigo",Charing Cross St 
857,"Noahs Ark, Bendigo",Mundy St 
858,"Spittles, Bendigo",Bull St 
859,"Normanby, Bendigo",Bendigo 
860,"Spring Gully, Bendigo",Spring Gully Rd 
861,"Oddfellows, Bendigo",Bendigo 
862,"Star & Garter, Bendigo",Mitchell St 
863,"Oiive Branch, Bendigo",Bendigo 
864,"Suburban, Bendigo",corner McCrae & White Hills Rd 
865,"Supreme Court, Bendigo",Howard Place 
866,"Olympic, Bendigo",Bendigo 
867,"Telegraph, Bendigo",Mitchell St 
868,"One Tree Hill, Bendigo",Bendigo 
869,"Temple Court, Bendigo",Pall Mall 
870,"Orient, Bendigo",Bendigo 
871,"Terminus, Bendigo",Mitchell St 
872,"Oriental, Bendigo",Bendigo 
873,"Three Tuns, Bendigo",corner Arnold & Smith Sts 
874,"Park, Bendigo",Bendigo 
875,"Town Hal, Bendigo",corner Lyttleton & Bull Sts 
876,"Park View, Bendigo",corner View & Barnard Sts 
877,"Turf Tavern, Bendigo",Bendigo 
878,"Perseverance, Bendigo",Bendigo 
879,"Tysons Reef, Bendigo",corner Bridge & White Hills Rd 
880,"Prince Bismark, Bendigo",Barnard St 
881,"Unicorn, Bendigo",corner Forest & Boudary Sts 
882,"Punchs, Bendigo",High St 
883,"Queens, Bendigo",Mitchell St 
884,"Union, Bendigo",High St 
885,"Queens Arms, Bendigo",Olinda Rd 
886,"Union, Bendigo",Hargreaves St 
887,"Queen Street, Bendigo",Bendigo 
888,"Union, Bendigo",corner Inglewood Rd & Specimen St 
889,"Railway, Bendigo",Mitchell St 
890,"Union Jack, Bendigo",McDougal St 
891,"Railway Bridge, Bendigo",McIvor Rd 
892,"Rainbow, Bendigo",Hargreaves St 
893,"United States of Aust, Bendigo",Lylleton St 
894,"Red Lion, Bendigo",corner Barnard & Wattle Sts 
895,"United States, Bendigo",Market Square 
896,"Reservoir, Bendigo",Spring Gully Rd 
897,"Universal, Bendigo",Queen St 
898,"Reservoir, Bendigo",Sternberg St 
899,"Kennington, Bendigo",Sternberg St 
900,"Victoria, Bendigo",Pall Mall 
901,"Rifle Brigade, Bendigo",Bendigo View Point 
902,"Victory, Bendigo",corner Wattle & Victoria Sts 
903,"Rising Sun, Bendigo",corner Barnard & Arnold Sts 
904,"View Bend, Bendigo",High St 
905,"Robert Burns, Bendigo",Mitchell St 
906,"View Point, Bendigo",Bendigo 
907,"Rock of Cashel, Bendigo",Mundy St 
908,"Violet St, Bendigo",corner Old corner Violet & Barnard Sts 
909,"Royal, Bendigo",Forest St 
910,"Washington, Bendigo",High St 
911,"Royal Duke, Bendigo",Hargreaves St 
912,"Waterloo, Bendigo",corner Bridge & Water Sts 
913,"Royal George, Bendigo",Mundy St 
914,"West End, Bendigo",Barnard St 
915,"Royal Mail, Bendigo",corner Williamson & Hargreaves Sts 
916,"Royal Oak, Bendigo",McIvor St 
917,"Royal Princess, Bendigo",corner Mundy & Hargreaves Sts 
918,"Saleyards, Bendigo",Bendigo 
919,"Sandhurst, Bendigo",Bull St 
920,"Saw Mills, Bendigo",Charleston St 
921,"Shamrock, Bendigo",Epsom St 
922,"Shamrock, Bendigo",Pall Mall 
923,"Greenwoods Fam, Geelong",Geelong 
924,"Red Light, Geelong",Geelong 
925,"Bulgoback Hotel & Store, Bulgoback",Bulgoback 
926,"New Family, Drouin",Drouin 
927,"Fyansford, Fyansford",Geelong Fyansford 
928,"Travellers Rest, Nagambie",Nagambie 
929,"Little River, Little River",Little River 
930,"Travellers Rest, Little River",Melbourne Rd 
931,"Heywood, Heywood",corner Cameron & Edgar Sts 
932,"Terminus, Shepparton",Shepparton 
933,"Travellers Rest, Little River",Melbourne Rd 
934,"Travellers Rest, Little River",Melbourne Rd 
935,"Travellers Rest, Little River",Melbourne Rd 
936,"Travellers Rest, Goulburn River",Goulburn River 
937,"Golden Fleece, Portland",corner Gawler & Percy Sts 
938,"Golden Fleece, Portland",corner Gawler & Percy Sts 
939,"Mia Mia, Mia Mia",Mia Mia 
940,"Macks, Geelong",Geelong 
941,"Retreat Inn, Geelong",Geelong 
942,"Woolpack Inn, Geelong",Geelong 
943,"Golden Fleece, Portland",corner Gawler & Percy Sts 
944,"Kilmore, Kilmore",Sydney St 
945,"Hunters Tryste, Beveridge",Beverage 
946,"Travellers Rest, Little River",Melbourne Rd 
947,"Travellers Rest, Little River",Melbourne Rd 
948,"Travellers Rest, Little River",Melbourne Rd 
949,"Portland Bay, Portland",corner Gawler & Bentink Sts 
950,"Little River, Little River",Little River 
951,"Frenchmans Inn, Cressy",Cressy 
952,"Grange Family, Hamilton",Hamilton 
953,"Black Swan Hotel & Brewery, Benalla",Arundel St 
954,"Macs, Portland",Bentinck St 
955,"Macs, Portland",Bentinck St 
956,"Kinlochewe Inn, Donnybrook",Donnybrook Sinclairs Hill 
957,"Kinlochewe Inn, Donnybrook",Donnybrook Sinclairs Hill 
958,"Kinlochewe Inn, Donnybrook",Donnybrook Sinclairs Hill 
959,"Kinlochewe Inn, Donnybrook",Donnybrook Sinclairs Hill 
960,"Kinlochewe Inn, Donnybrook",Donnybrook Sinclairs Hill 
961,"Eureka, Rainbow",Rainbow 
962,"Criterion, Sale",corner York & Richardson Sts 
963,"Criterion, Sale",corner York & Richardson Sts 
964,"Merrijig Inn, Port Fairy",Gipps St 
965,"Commercial, Geelong",Corio St 
966,"Corio, Geelong",Geelong 
967,"Heart of Midlothian, Geelong",Geelong 
968,"Bush Inn, Mount Macedon",Mount Macedon 
969,"Hope Inn, Wangaratta",Wangaratta 
970,"Barwon, Winchelsea",Main St 
971,"Barwon, Winchelsea",Main St 
972,"Little River, Little River",Little River 
973,"Travellers Rest, Little River",Melbourne Rd 
974,"Bush Inn, Bacchus Marsh",Bacchus Marsh 
975,"Commercial, Portland",Portland 
976,"Commercial, Portland",Portland 
977,"Heart of Midlothian, Corio",Corio St 
978,"Portland Inn, Portland",No 4 Percy St 
979,"Ashby, Geelong",Geelong 
980,"Steam Packet Inn, Portland",Portland 
981,"Merrijig Inn, Port Fairy",Gipps St 
982,"Barwon, Winchelsea",Main St 
983,"Royal Merrijig Inn, Port Fairy",corner Gipps & Campbell Sts 
984,"Caledonian, Geelong",Geelong 
985,"Thistle Inn, Geelong",Geelong 
986,"Bush Inn, Bacchus Marsh",Bacchus Marsh 
987,"Heywood, Heywood",corner Cameron & Edgar Sts 
988,"Kilmore, Kilmore",Sydney St 
989,"Wangaratta, North Wangaratta",Wangaratta North 
990,"Travellers Rest, Ovens",Ovens River 
991,"Bridge Inn, Yan Yean",Yan Yean South 
992,"Belfast Inn, Port Fairy",54 Sackville St 
993,"Commercial, Portland",Portland 
994,"Grange Family, Hamilton",Hamilton 
995,"Union Inn, Portland",Portland 
996,"Golden Fleece, Portland",corner Gawler & Percy Sts 
997,"Digby, Digby","Emu Creek, Digby "
998,"Crawford Inn, Smoky River",Smokey River 
999,"Merrijig Inn, Port Fairy",Gipps St 
1000,"Crawford Inn, Smoky River",Smokey River 
1001,"Sally Ann, Belfast",Belfast 
1002,"Travellers Rest, Branxholme",Branxholme 
1003,"London, Portland",Gawler St 
1004,"London, Portland",Gawler St 
1005,"Eureka, Geelong",Geelong 
1006,"Shearers Arms, Geelong",Geelong 
1007,"Wheatsheaf, Geelong",Geelong 
1008,"Bridge Inn, Yan Yean",Yan Yean South 
1009,"Black Swan Hotel & Brewery, Benalla",Arundel St 
1010,"Glenfarg Inn, Ovens",Ovens River 
1011,"Carlsruhe Inn, Carlsruhe",Carlsruhe 
1012,"Retreat Inn, Geelong",Geelong 
1013,"Corio, Geelong",Geelong 
1014,"Black Swan Hotel & Brewery, Benalla",Arundel St 
1015,"Royal Merrijig Inn, Port Fairy",corner Gipps & Campbell Sts 
1016,"Woods, Phillip Island",Phillip Island 
1017,"Travellers Rest, Branxholme",Branxholme 
1018,"Travellers Rest, Ovens",Ovens River 
1019,"Commercial, Portland",Portland 
1020,"Travellers Rest, Little River",Melbourne Rd 
1021,"Belfast Inn, Port Fairy",54 Sackville St 
1022,"Cronins Inn, Belfast",Belfast 
1023,"Squatters Rest, Balmoral",Balmoral 
1024,"Grange Family, Hamilton",Hamilton 
1025,"Bridge Inn, Yan Yean",Yan Yean South 
1026,"Albion, Melbourne",Melbourne 
1027,"The Heart Inn, Port Albert",Corner Inlet Port Albert 
1028,"Broken River, Benalla",Benalla 
1029,"Three Fishes, Caramut",Caramut 
1030,"Digby, Digby","Emu Creek, Digby "
1031,"Salutation Inn, Winding Creek",Old Sydney Rd 
1032,"Seymour, Seymour",Sydney Rd 
1033,"Wangaratta, North Wangaratta",Wangaratta North 
1034,"Sally Ann, Belfast",Belfast 
1035,"Travellers Rest Inn, Mount Macedon",Mount Macedon 
1036,"Black Dog Creek, Chiltern",Chiltern 
1037,"Lake Colongulac, Timboon",Lake Timboon 
1038,"Barwon Inn, Geelong",Geelong 
1039,"Farmers, Geelong",Geelong Ashby 
1040,"Victoria, Geelong",Geelong 
1041,"Grange Family, Hamilton",Hamilton 
1042,"Britannia, Portland",Portland 
1043,"Kilmore, Kilmore",Sydney St 
1044,"Greenvale Inn, Greenvale",Greenvale 
1045,"Commercial, Portland",Portland 
1046,"Golden Fleece, Portland",corner Gawler & Percy Sts 
1047,"Commercial, Portland",Portland 
1048,"Portland Bay, Portland",corner Gawler & Bentink Sts 
1049,"Royal, Warrnambool",corner Merri & Kelp Sts 
1050,"Royal Mail, Violet Town",Violet Town 
1051,"Plough Inn, Tower Hill",Tower Hill Flat 
1052,"Halfway House, Portland",Portland 
1053,"Colac, Colac East",Colac East 
1054,"Colac, Colac East",Colac East 
1055,"Emu Inn, Wardy Yallock",Wardy Yallock 
1056,"Sommerton Inn, Somerton",Sydney Rd 
1057,"Sommerton Inn, Somerton",Sydney Rd 
1058,"Seymour, Seymour",Sydney Rd 
1059,"Emu Inn, Wardy Yallock",Wardy Yallock 
1060,"Glenelg Hotel & Store, Casterton",Casterton 
1061,"Coomoora Hotel Store & Post Office, Coomoora",Coomoora 
1062,"Seymour, Seymour",Sydney Rd 
1063,"Woolpack, Sale",Sale 
1064,"Glenelg Hotel & Store, Casterton",Casterton 
1065,"Buninyong, Buninyong",Buninyong 
1066,"Cronins Inn, Belfast",Belfast 
1067,"Cronins Inn, Belfast",Belfast 
1068,"Hardys, Wardy Yallock",Wardy Yallock 
1069,"Little River, Little River",Little River 
1070,"Golden Fleece, Portland",corner Gawler & Percy Sts 
1071,"Woolpack Inn, Sale",Sale 
1072,"Travellers Rest, Branxholme",Branxholme 
1073,"Heywood, Heywood",corner Cameron & Edgar Sts 
1074,"Strangeways, Wallan",Wallan Wallan Big Hill 
1075,"Commercial, Portland",Portland 
1076,"Seymour, Seymour",Sydney Rd 
1077,"Bush Tavern, Heywood",Heywood 
1078,"Lamb Inn, Portland",Henty St 
1079,"Lamb Inn, Portland",Henty St 
1080,"Carlsruhe Inn, Carlsruhe",Carlsruhe 
1081,"Mt Macedon, Mount Macedon",Mount Macedon 
1082,"Carngham Inn, Carngham",Carngham 
1083,"Britannia, Portland",Julia St 
1084,"Richmond Family, Portland",Bentinck St 
1085,"Tasmanian Inn, Portland",corner Gawler & Percy Sts 
1086,"Tasmanian Inn, Portland",corner Gawler & Percy Sts 
1087,"Seymour, Seymour",Sydney Rd 
