tourist_site_name,tourist_site_address,tourist_site_rating,tourist_site_city
Cardinia Reservoir Park,"Cardinia Reservoir Access Rd, Emerald VIC 3782, Australia",4.5,OFFICER
Harmony Place Park,"Officer VIC 3809, Australia",4.6,OFFICER
Park Central,"Officer VIC 3809, Australia",4.5,OFFICER
Ray Bastin Reserve,"Narre Warren VIC 3805, Australia",4.3,OFFICER
Troups Creek Retarding Basin,"151I Drysdale Ave, Narre Warren North VIC 3804, Australia",4.4,OFFICER
Brechin Gardens,"Brechin Dr, Cranbourne North VIC 3977, Australia",4.4,OFFICER
Timbarra Park,"Berwick VIC 3806, Australia",0.0,NARRE WARREN
Marco Ciavarella Reserve,"Narre Warren VIC 3805, Australia",3.6,NARRE WARREN
Prospect Hill Retarding Basin,"2-4 Murdoch Ave, Narre Warren VIC 3805, Australia",3.9,NARRE WARREN
Wilson Botanic Park Berwick,"668 Princes Hwy, Berwick VIC 3806, Australia",4.6,NARRE WARREN
Amberly Park Drive Reserve,"43 Amberly Park Dr, Narre Warren South VIC 3805, Australia",4.3,NARRE WARREN
Equestian Trail,"147I Robinson Rd, Narre Warren North VIC 3804, Australia",4.5,NARRE WARREN
Wilson Botanic Park,"668 Princes Hwy, Berwick VIC 3806, Australia",4.7,NARRE WARREN
Kalora Park,"Narre Warren North VIC 3804, Australia",4.3,NARRE WARREN
Max Pawsey Reserve,"Narre Warren VIC 3805, Australia",4.1,NARRE WARREN
Narre Warren North Reserve,"209-219 Belgrave-Hallam Rd, Narre Warren North VIC 3804, Australia",4.2,NARRE WARREN
Bunjil Place,"2 Patrick NE Dr, Narre Warren VIC 3805, Australia",4.5,NARRE WARREN
Lysterfield Park Kangaroo Watching Area,"Casuarina Track, Narre Warren North VIC 3804, Australia",4.9,NARRE WARREN
Bluebird Park,"2 Bluebird Dr, Berwick VIC 3806, Australia",4.7,NARRE WARREN
Yun Yang Temple (Australia) Inc.,"6-10 Reservoir Rd, Narre Warren North VIC 3804, Australia",4.6,NARRE WARREN
1001 Steps - Bayview Park,"188T Quarry Rd, Narre Warren VIC 3805, Australia",4.4,NARRE WARREN
Helloworld Travel Fountain Gate,"2123/352 Princes Hwy, Narre Warren VIC 3805, Australia",3.9,NARRE WARREN
Flight Centre Fountain Gate,"25-55 Overland Dr, Narre Warren VIC 3805, Australia",3.9,NARRE WARREN
Princes Park,"Maryborough VIC 3465, Australia",4.4,NARRE WARREN
Simson Brother Memorial Lookout,"Kennedy St, Maryborough VIC 3465, Australia",0.0,NARRE WARREN
Central Goldfields Visitor Information Centre,"91 Nolan St, Maryborough VIC 3465, Australia",4.4,NARRE WARREN
Worsley Cottage Museum Complex,"3 Palmerston St, Maryborough VIC 3465, Australia",4.8,MARYBOROUGH
Bristol Hill Reserve,"Maryborough VIC 3465, Australia",4.4,MARYBOROUGH
Visit Maryborough & Surrounds,"91 Nolan St, Maryborough VIC 3465, Australia",0.0,MARYBOROUGH
Maryborough Travel & Cruise,"156 High St, Maryborough VIC 3465, Australia",5.0,MARYBOROUGH
Golden Country Motel & Caravan Park,"134 Park Rd, Maryborough VIC 3465, Australia",4.2,MARYBOROUGH
Goldfields Landscaping,"Maryborough VIC 3465, Australia",0.0,MARYBOROUGH
Tipperary Hill Estate,"32 Alma-Bowenvale Rd, Alma VIC 3465, Australia",0.0,MARYBOROUGH
Paramount Theatre,"56 Nolan St, Maryborough VIC 3465, Australia",4.7,MARYBOROUGH
Maryborough Municipal Outdoor Swimming Pool,"5 Lake Rd, Maryborough VIC 3465, Australia",0.0,MARYBOROUGH
Central Goldfields Shire Council,"12-22 Nolan St, Maryborough VIC 3465, Australia",4.3,MARYBOROUGH
Possum Gully Rd Studio Gallery,"428 Possum Gully Rd, Maryborough VIC 3465, Australia",4.7,MARYBOROUGH
Paddys Ranges State Park,"Adelaide Lead VIC 3465, Australia",4.3,MARYBOROUGH
GELC Neighbourhood House,"88-90 Burke St, Maryborough VIC 3465, Australia",5.0,MARYBOROUGH
Maryborough Caravan Park,"7-9 Holyrood St, Maryborough VIC 3465, Australia",4.3,MARYBOROUGH
Carisbrook Log Jail,"Bucknall St, Carisbrook VIC 3464, Australia",4.1,MARYBOROUGH
Central Goldfields Art Gallery,"3 Neill St, Maryborough VIC 3465, Australia",4.5,MARYBOROUGH
Maryborough Marketplace,"47 Nolan St, Maryborough VIC 3465, Australia",0.0,MARYBOROUGH
Mt Leura lookout,"Mt Leura Rd, Camperdown VIC 3260, Australia",4.6,MARYBOROUGH
